Date : 2021-11-05 18:59:41
Directory : /Users/brunopaula/Desktop/fmb/website/fmb
Total : 509 files,  100797 codes, 1651 comments, 4578 blanks, all 107026 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24projects2.js   | JavaScript       |        218 |          0 |          3 |        221 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24reviews4.js    | JavaScript       |        382 |          0 |          3 |        385 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24statistic1.js  | JavaScript       |         74 |          0 |          3 |         77 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo24/Demo24statistic2.js  | JavaScript       |         51 |          0 |          3 |         54 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25blog1.js       | JavaScript       |        145 |          0 |          2 |        147 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25brands2.js     | JavaScript       |        147 |          0 |          2 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25content2.js    | JavaScript       |         63 |          0 |          3 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25content3.js    | JavaScript       |        130 |          0 |          2 |        132 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25content5.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25content7.js    | JavaScript       |         69 |          0 |          2 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25cta11.js       | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25faqs2.js       | JavaScript       |        160 |          0 |          2 |        162 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25features4.js   | JavaScript       |        199 |          0 |          2 |        201 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25features8.js   | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25hero10.js      | JavaScript       |         42 |          0 |          3 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25newsletter2.js | JavaScript       |         53 |          0 |          2 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25reviews4.js    | JavaScript       |        385 |          0 |          3 |        388 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo25/Demo25statistic2.js  | JavaScript       |         50 |          0 |          3 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content1.js    | JavaScript       |        111 |          0 |          3 |        114 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content10.js   | JavaScript       |         64 |          0 |          3 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content2.js    | JavaScript       |         49 |          0 |          2 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content2a.js   | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content3.js    | JavaScript       |        148 |          0 |          2 |        150 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content4.js    | JavaScript       |         68 |          0 |          2 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content5.js    | JavaScript       |         90 |          0 |          2 |         92 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content6.js    | JavaScript       |         41 |          0 |          2 |         43 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26content9.js    | JavaScript       |         30 |          0 |          3 |         33 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26faqs2.js       | JavaScript       |        160 |          0 |          2 |        162 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26features2.js   | JavaScript       |         91 |          0 |          2 |         93 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26features8.js   | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26hero1.js       | JavaScript       |         72 |          0 |          3 |         75 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26reviews1.js    | JavaScript       |        413 |          0 |          3 |        416 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo26/Demo26statistic2.js  | JavaScript       |         50 |          0 |          3 |         53 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3brands1.js       | JavaScript       |        124 |          0 |          3 |        127 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content1.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content10.js     | JavaScript       |         65 |          0 |          3 |         68 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content2.js      | JavaScript       |         49 |          0 |          2 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content2a.js     | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content3.js      | JavaScript       |        178 |          0 |          3 |        181 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3content7.js      | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3cta4.js          | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3faqs2.js         | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3features4.js     | JavaScript       |        166 |          0 |          2 |        168 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3features8.js     | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3hero3.js         | JavaScript       |         72 |          0 |          3 |         75 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3pricing2.js      | JavaScript       |        252 |          0 |          2 |        254 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3reviews1.js      | JavaScript       |        373 |          0 |          2 |        375 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3statistic3.js    | JavaScript       |         77 |          0 |          3 |         80 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo3/Demo3statistic4.js    | JavaScript       |         74 |          0 |          3 |         77 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4blog1.js         | JavaScript       |        146 |          0 |          3 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content1.js      | JavaScript       |         61 |          0 |          2 |         63 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content10.js     | JavaScript       |         54 |          0 |          3 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content2.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content3.js      | JavaScript       |        117 |          0 |          2 |        119 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4content7.js      | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4cta10.js         | JavaScript       |         49 |          0 |          2 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4features3.js     | JavaScript       |        144 |          0 |          2 |        146 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4hero4.js         | JavaScript       |        114 |          0 |          2 |        116 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4newsletter2.js   | JavaScript       |         50 |          0 |          2 |         52 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4projects2.js     | JavaScript       |        208 |          0 |          3 |        211 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4reviews4.js      | JavaScript       |        343 |          0 |          2 |        345 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo4/Demo4statistic2.js    | JavaScript       |         56 |          0 |          3 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5content10.js     | JavaScript       |         42 |          0 |          4 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5content2.js      | JavaScript       |         71 |          0 |          2 |         73 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5content2a.js     | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5content3.js      | JavaScript       |        161 |          0 |          3 |        164 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5cta11.js         | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5features4.js     | JavaScript       |        181 |          0 |          2 |        183 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5features8.js     | JavaScript       |         95 |          0 |          2 |         97 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5hero1.js         | JavaScript       |         50 |          0 |          2 |         52 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo5/Demo5statistic2.js    | JavaScript       |         56 |          0 |          3 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6Price.js         | JavaScript       |        258 |          0 |          2 |        260 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6content-2.js     | JavaScript       |         82 |          0 |          3 |         85 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6content10.js     | JavaScript       |         36 |          0 |          4 |         40 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6content3.js      | JavaScript       |        162 |          0 |          3 |        165 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6content7.js      | JavaScript       |         62 |          0 |          2 |         64 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6cta11.js         | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6features4.js     | JavaScript       |        148 |          0 |          2 |        150 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6hero6.js         | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6projects2.js     | JavaScript       |        208 |          0 |          3 |        211 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6reviews4.js      | JavaScript       |        372 |          0 |          3 |        375 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demo6statistic1.js    | JavaScript       |         69 |          0 |          3 |         72 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo6/Demostatistic2.js     | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7content1.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7content2.js      | JavaScript       |         74 |          0 |          3 |         77 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7content3.js      | JavaScript       |        158 |          0 |          2 |        160 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7content6.js      | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7content9.js      | JavaScript       |         37 |          0 |          3 |         40 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7cta11.js         | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7features5.js     | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7features6.js     | JavaScript       |        109 |          0 |          2 |        111 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7hero7.js         | JavaScript       |         70 |          0 |          3 |         73 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7newsletter1.js   | JavaScript       |         54 |          0 |          2 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7projects2.js     | JavaScript       |        208 |          0 |          2 |        210 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo7/Demo7reviews3.js      | JavaScript       |        122 |          0 |          2 |        124 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8Hero.js          | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content1.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content10.js     | JavaScript       |         40 |          0 |          3 |         43 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content2.js      | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content2a.js     | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content3.js      | JavaScript       |        176 |          0 |          2 |        178 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8content5.js      | JavaScript       |         54 |          0 |          2 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8cta3.js          | JavaScript       |         42 |          0 |          2 |         44 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8features4.js     | JavaScript       |        104 |          0 |          2 |        106 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8features5.js     | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8pricing3.js      | JavaScript       |        196 |          0 |          2 |        198 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8reviews1.js      | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Demo8statistic4.js    | JavaScript       |         69 |          0 |          3 |         72 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo8/Democontent6.js       | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9brands2.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content10a.js    | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content2.js      | JavaScript       |         55 |          0 |          3 |         58 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content3.js      | JavaScript       |        159 |          0 |          2 |        161 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content5.js      | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content6.js      | JavaScript       |         43 |          0 |          2 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9content7.js      | JavaScript       |         69 |          0 |          2 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9features4.js     | JavaScript       |        165 |          0 |          2 |        167 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9features8.js     | JavaScript       |         87 |          0 |          2 |         89 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9hero9.js         | JavaScript       |         79 |          0 |          2 |         81 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9pricing3.js      | JavaScript       |        191 |          0 |          2 |        193 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demo9statistic4.js    | JavaScript       |         68 |          0 |          2 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Democontent10.js      | JavaScript       |         66 |          0 |          3 |         69 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Democta4.js           | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo9/Demoreviews1.js       | JavaScript       |        397 |          0 |          3 |        400 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/context/video.js                            | JavaScript       |         47 |          0 |         10 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/Footer.js                            | JavaScript       |        168 |          0 |          2 |        170 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/Header.js                            | JavaScript       |        220 |         23 |          7 |        250 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/Layout.js                            | JavaScript       |         41 |          0 |          4 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/PreLoader.js                         | JavaScript       |         15 |          0 |          2 |         17 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/RtlFooter.js                         | JavaScript       |        192 |          0 |          2 |        194 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/RtlHeader.js                         | JavaScript       |        331 |          5 |          6 |        342 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/RtlLayout.js                         | JavaScript       |         35 |          0 |          3 |         38 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/layout/ScrollTop.js                         | JavaScript       |         31 |          0 |          5 |         36 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/utils/useClickOutside.js                    | JavaScript       |         36 |          0 |         11 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/utils/utils.js                              | JavaScript       |         59 |          0 |          5 |         64 |
| /Users/brunopaula/Desktop/fmb/website/fmb/styles/colors.css                               | CSS              |          5 |          0 |          1 |          6 |
| /Users/brunopaula/Desktop/fmb/website/fmb/styles/custom.css                               | CSS              |        139 |         18 |         31 |        188 |
| /Users/brunopaula/Desktop/fmb/website/fmb/styles/faq.css                                  | CSS              |         24 |          1 |          5 |         30 |
| /Users/brunopaula/Desktop/fmb/website/fmb/styles/globals.css                              | CSS              |         15 |          1 |          4 |         20 |
| /Users/brunopaula/Desktop/fmb/website/fmb/tailwind.config.js                              | JavaScript       |         19 |          0 |          1 |         20 |
| /Users/brunopaula/Desktop/fmb/website/fmb/test.json                                       | JSON             |     17,628 |          0 |          1 |     17,629 |
| Total                                                                                     |                  |    100,797 |      1,651 |      4,578 |    107,026 |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
